iter	Passed	Remaining
196	347	1414
197	348	1412
198	350	1409
199	351	1407
200	353	1405
201	355	1403
202	357	1401
203	358	1399
204	360	1397
205	361	1394
206	363	1392
207	365	1390
208	366	1387
209	369	1388
210	370	1386
211	372	1385
212	374	1383
213	375	1380
214	377	1378
215	379	1377
216	381	1375
217	382	1373
218	384	1371
219	386	1368
220	387	1366
221	389	1364
222	390	1361
223	392	1359
224	394	1357
225	395	1356
226	397	1354
227	399	1352
228	401	1351
229	403	1350
230	404	1348
231	406	1345
232	408	1344
233	409	1341
234	411	1338
235	412	1336
236	414	1334
237	416	1332
238	417	1330
239	419	1328
240	421	1326
241	422	1324
242	424	1322
243	426	1320
244	427	1318
245	429	1316
246	431	1314
247	433	1313
248	434	1311
249	436	1309
250	438	1307
251	440	1306
252	441	1303
253	443	1302
254	445	1301
255	446	1298
256	448	1296
257	450	1294
258	451	1292
259	453	1290
260	454	1288
261	456	1286
262	457	1282
263	459	1280
264	461	1279
265	462	1277
266	464	1275
267	466	1273
268	467	1271
269	469	1268
270	470	1266
271	472	1264
272	473	1261
273	475	1259
274	477	1257
275	478	1256
276	480	1254
277	482	1252
278	483	1250
279	485	1248
280	487	1246
281	488	1244
282	490	1242
283	492	1240
284	493	1239
285	495	1237
286	497	1236
287	499	1233
288	500	1231
289	502	1229
290	503	1227
291	505	1225
292	507	1224
293	509	1222
294	510	1220
295	512	1218
296	514	1217
297	515	1215
298	517	1213
299	519	1211
300	520	1208
301	522	1207
302	524	1205
303	525	1204
304	527	1202
305	529	1200
306	530	1197
307	532	1195
308	533	1193
309	535	1191
310	536	1189
311	538	1187
312	540	1186
313	542	1184
314	543	1182
315	545	1180
316	547	1178
317	548	1177
318	550	1175
319	552	1173
320	553	1171
321	555	1169
322	557	1167
323	569	1188
324	571	1187
325	573	1185
326	574	1183
327	576	1180
328	577	1178
329	579	1176
330	580	1174
331	582	1172
332	584	1170
333	585	1168
334	587	1166
335	589	1164
336	590	1162
337	592	1160
338	594	1158
339	595	1156
340	598	1156
341	599	1154
342	601	1152
343	603	1150
344	605	1148
345	606	1146
346	608	1145
347	609	1142
348	611	1140
349	613	1138
350	615	1137
351	616	1135
352	618	1133
353	619	1131
354	621	1129
355	623	1128
356	625	1126
357	627	1124
358	628	1122
359	630	1121
360	632	1119
361	634	1117
362	636	1116
363	637	1114
364	639	1112
365	641	1111
366	643	1109
367	645	1107
368	647	1106
369	649	1105
370	651	1103
371	652	1102
372	654	1100
373	656	1098
374	658	1096
375	659	1094
376	661	1093
377	663	1092
378	665	1090
379	667	1089
380	669	1087
381	671	1085
382	672	1084
383	674	1082
384	676	1080
385	678	1079
386	680	1077
387	682	1076
388	684	1074
389	686	1073
390	687	1071
391	689	1069
392	691	1067
393	693	1066
394	695	1065
395	697	1063
396	699	1062
397	700	1060
398	702	1058
399	704	1056
400	705	1054
401	707	1052
402	709	1051
403	711	1049
404	713	1047
405	715	1046
406	716	1044
407	718	1042
408	720	1040
409	721	1038
410	723	1036
411	725	1035
412	727	1033
413	728	1031
414	730	1029
415	732	1027
416	733	1025
417	735	1023
418	737	1022
419	739	1020
420	741	1019
421	743	1017
422	745	1017
423	747	1015
424	749	1014
425	751	1012
426	753	1011
427	755	1009
428	757	1007
429	759	1006
430	760	1004
431	762	1002
432	764	1000
433	766	999
434	768	997
435	770	996
436	772	994
437	774	993
438	775	991
439	777	989
440	779	987
441	781	985
442	782	984
443	784	982
444	786	980
445	788	979
446	790	978
447	792	976
448	794	974
449	796	973
450	797	971
451	799	969
452	801	967
453	803	966
454	805	964
455	806	962
456	808	960
457	810	958
458	811	956
459	813	955
460	815	953
461	817	951
462	818	949
463	820	947
464	821	945
465	823	943
466	825	941
467	826	939
468	828	937
469	830	936
470	832	934
471	833	932
472	835	931
473	837	929
474	839	927
475	841	926
476	842	924
477	844	922
478	846	920
479	848	918
480	849	917
481	851	915
482	853	913
483	854	911
484	856	909
485	857	907
486	859	905
487	861	903
488	862	901
489	864	899
490	866	897
491	867	896
492	869	894
493	871	892
494	872	890
495	874	888
496	876	886
497	878	885
498	879	883
499	881	881
500	883	879
501	884	877
502	886	875
503	888	873
504	889	872
505	891	870
506	893	868
507	894	866
508	896	864
509	898	862
510	899	860
511	901	859
512	902	857
513	904	855
514	906	853
515	907	851
516	909	849
517	910	847
518	912	845
519	914	843
520	915	841
521	917	840
522	918	837
523	919	835
524	921	833
525	923	831
526	925	830
527	927	829
528	929	827
529	931	825
530	932	824
531	934	822
532	937	821
533	939	820
534	941	818
535	943	816
536	945	814
537	946	812
538	948	811
539	950	809
540	952	808
541	954	806
542	955	804
543	957	802
544	959	801
545	961	799
546	962	797
547	964	795
548	966	794
549	968	792
550	970	790
551	971	788
552	973	786
553	975	785
554	976	783
555	978	781
556	980	779
557	982	778
558	984	776
559	985	774
560	987	772
561	989	771
562	991	769
563	992	767
564	994	765
565	995	763
566	997	762
567	999	760
568	1001	758
569	1003	756
570	1004	754
571	1006	752
572	1008	751
573	1009	749
574	1011	747
575	1013	745
576	1014	743
577	1016	742
578	1018	740
579	1020	738
580	1021	736
581	1023	734
582	1024	733
583	1026	731
584	1028	729
585	1029	727
586	1031	725
587	1033	723
588	1035	722
589	1036	720
590	1038	718
591	1039	716
592	1041	714
593	1043	713
594	1045	711
595	1047	709
596	1048	708
597	1050	706
598	1052	704
599	1053	702
600	1055	700
601	1057	698
602	1059	697
603	1061	695
604	1062	693
605	1064	692
606	1066	690
607	1067	688
608	1069	686
609	1071	684
610	1072	683
611	1074	681
612	1076	679
613	1077	677
614	1080	676
615	1081	674
616	1083	672
617	1085	670
618	1086	669
619	1089	667
620	1091	666
621	1093	664
622	1094	662
623	1096	660
624	1098	658
625	1099	657
626	1101	655
627	1103	653
628	1105	651
629	1106	649
630	1108	648
631	1109	646
632	1111	644
633	1113	642
634	1114	640
635	1116	639
636	1118	637
637	1119	635
638	1121	633
639	1123	631
640	1125	630
641	1127	628
642	1129	626
643	1131	625
644	1133	623
645	1134	621
646	1136	619
647	1137	618
648	1139	616
649	1141	614
650	1142	612
651	1144	610
652	1146	608
653	1147	607
654	1149	605
655	1151	603
656	1152	601
657	1154	600
658	1156	598
659	1157	596
660	1159	594
661	1161	593
662	1163	591
663	1164	589
664	1166	587
665	1168	586
666	1169	584
667	1171	582
668	1173	580
669	1175	578
670	1176	577
671	1178	575
672	1180	573
673	1182	571
674	1184	570
675	1185	568
676	1187	566
677	1189	564
678	1191	563
679	1192	561
680	1194	559
681	1195	557
682	1197	555
683	1199	554
684	1201	552
685	1202	550
686	1204	548
687	1206	546
688	1207	545
689	1209	543
690	1211	541
691	1212	539
692	1214	538
693	1216	536
694	1218	534
695	1220	532
696	1221	531
697	1223	529
698	1225	527
699	1226	525
700	1228	523
701	1230	522
702	1231	520
703	1233	518
704	1235	517
705	1237	515
706	1239	513
707	1240	511
708	1242	509
709	1244	508
710	1246	506
711	1247	504
712	1249	502
713	1251	501
714	1253	499
715	1254	497
716	1256	495
717	1258	494
718	1259	492
719	1261	490
720	1263	488
721	1265	487
722	1267	485
723	1268	483
724	1270	481
725	1272	480
726	1273	478
727	1275	476
728	1277	474
729	1279	473
730	1281	471
731	1282	469
732	1284	467
733	1286	466
734	1287	464
735	1289	462
736	1291	460
737	1292	459
738	1294	457
739	1296	455
740	1298	453
741	1300	452
742	1302	450
743	1303	448
744	1305	446
745	1307	445
746	1309	443
747	1311	441
748	1313	440
749	1314	438
750	1316	436
751	1317	434
752	1319	432
753	1321	431
754	1323	429
755	1325	427
756	1327	426
757	1328	424
758	1330	422
759	1331	420
760	1332	418
761	1334	416
762	1336	415
763	1338	413
764	1340	411
765	1342	410
766	1344	408
767	1346	406
768	1347	404
769	1349	403
770	1351	401
771	1352	399
772	1354	397
773	1356	396
774	1359	394
775	1361	393
776	1363	391
777	1364	389
778	1366	387
779	1368	385
780	1369	383
781	1370	382
782	1372	380
783	1374	378
784	1375	376
785	1377	375
786	1379	373
787	1380	371
788	1382	369
789	1383	367
790	1385	366
791	1387	364
792	1389	362
793	1390	360
794	1392	359
795	1394	357
796	1395	355
797	1397	353
798	1399	351
799	1400	350
800	1402	348
801	1404	346
802	1406	344
803	1407	343
804	1409	341
805	1411	339
806	1412	337
807	1414	336
808	1416	334
809	1418	332
810	1419	330
811	1421	329
812	1422	327
813	1424	325
814	1426	323
815	1427	321
816	1429	320
817	1431	318
818	1432	316
819	1434	314
820	1436	313
821	1437	311
822	1439	309
823	1441	307
824	1443	306
825	1444	304
826	1446	302
827	1448	300
828	1450	299
829	1451	297
830	1453	295
831	1455	293
832	1456	292
833	1458	290
834	1459	288
835	1461	286
836	1463	284
837	1464	283
838	1466	281
839	1468	279
840	1470	277
841	1471	276
842	1473	274
843	1474	272
844	1476	270
845	1478	269
846	1479	267
847	1481	265
848	1483	263
849	1484	262
850	1486	260
851	1487	258
852	1489	256
853	1490	254
854	1492	253
855	1493	251
856	1495	249
857	1497	247
858	1499	246
859	1501	244
860	1502	242
861	1504	240
862	1506	239
863	1507	237
864	1509	235
865	1511	233
866	1512	232
867	1514	230
868	1516	228
869	1517	226
870	1519	225
871	1520	223
872	1522	221
873	1524	219
874	1526	218
875	1528	216
876	1529	214
877	1531	212
878	1532	211
879	1534	209
880	1535	207
881	1537	205
882	1538	203
883	1540	202
884	1542	200
885	1544	198
886	1545	196
887	1547	195
888	1549	193
889	1550	191
890	1552	189
891	1554	188
892	1555	186
893	1557	184
894	1559	182
895	1561	181
896	1562	179
897	1564	177
898	1565	175
899	1567	174
900	1568	172
901	1570	170
902	1571	168
903	1573	167
904	1575	165
905	1577	163
906	1578	161
907	1580	160
908	1581	158
909	1583	156
910	1584	154
911	1586	153
912	1588	151
913	1589	149
914	1591	147
915	1592	146
916	1594	144
917	1596	142
918	1598	140
919	1599	139
920	1601	137
921	1602	135
922	1604	133
923	1606	132
924	1608	130
925	1609	128
926	1611	126
927	1612	125
928	1614	123
929	1616	121
930	1617	119
931	1619	118
932	1621	116
933	1622	114
934	1624	112
935	1625	111
936	1627	109
937	1629	107
938	1630	105
939	1632	104
940	1633	102
941	1635	100
942	1637	98
943	1638	97
944	1640	95
945	1641	93
946	1643	91
947	1645	90
948	1647	88
949	1648	86
950	1650	85
951	1652	83
952	1654	81
953	1655	79
954	1657	78
955	1658	76
956	1660	74
957	1661	72
958	1663	71
959	1665	69
960	1666	67
961	1668	65
962	1670	64
963	1671	62
964	1673	60
965	1674	58
966	1676	57
967	1677	55
968	1679	53
969	1681	51
970	1682	50
971	1684	48
972	1685	46
973	1687	45
974	1688	43
975	1690	41
976	1691	39
977	1693	38
978	1695	36
979	1696	34
980	1698	32
981	1700	31
982	1701	29
983	1703	27
984	1705	25
985	1706	24
986	1708	22
987	1709	20
988	1711	19
989	1713	17
990	1715	15
991	1717	13
992	1719	12
993	1720	10
994	1722	8
995	1723	6
996	1725	5
997	1727	3
998	1729	1
999	1730	0
